family,year,prereg_count,standings_count,walk_in_ratio,walk_in_delta,walk_in_pct,tournament_type
Open at Foxwoods,2019,415,659,1.588,244,58.8,open
Open at Foxwoods,2024,465,513,1.1032,48,10.3,open
Pacific Coast Open,2014,194,351,1.8093,157,80.9,open
Pacific Coast Open,2015,203,387,1.9064,184,90.6,open
Pacific Coast Open,2016,214,363,1.6963,149,69.6,open
Pacific Coast Open,2017,232,398,1.7155,166,71.6,open
Pacific Coast Open,2018,245,398,1.6245,153,62.4,open
Pacific Coast Open,2019,230,386,1.6783,156,67.8,open
Pacific Coast Open,2025,391,448,1.1458,57,14.6,open
Philadelphia International,2025,126,122,0.9683,-4,-3.2,open
Philadelphia Open,2014,481,813,1.6902,332,69.0,open
Philadelphia Open,2015,515,818,1.5883,303,58.8,open
Philadelphia Open,2016,511,779,1.5245,268,52.4,open
Philadelphia Open,2017,553,818,1.4792,265,47.9,open
Philadelphia Open,2018,527,837,1.5882,310,58.8,open
Philadelphia Open,2019,231,370,1.6017,139,60.2,open
Philadelphia Open,2025,325,401,1.2338,76,23.4,open
Pittsburgh Open,2025,152,185,1.2171,33,21.7,open
Princeton Open,2025,574,738,1.2857,164,28.6,open
Southern Open,2013,192,328,1.7083,136,70.8,open
Southern Open,2014,162,264,1.6296,102,63.0,open
Southern Open,2015,210,333,1.5857,123,58.6,open
Southern Open,2016,203,334,1.6453,131,64.5,open
Southern Open,2017,211,339,1.6066,128,60.7,open
Southern Open,2018,231,354,1.5325,123,53.2,open
Southern Open,2019,181,300,1.6575,119,65.7,open
Southern Open,2025,188,237,1.2606,49,26.1,open
Southwest Class Championships,2026,492,608,1.2358,116,23.6,class
Stamford Open,2019,169,221,1.3077,52,30.8,open
Washington Chess Congress,2023,249,309,1.241,60,24.1,open
Western Class Championships,2014,180,793,4.4056,613,340.6,class
Western Class Championships,2015,200,809,4.045,609,304.5,class
Western Class Championships,2016,202,808,4.0,606,300.0,class
Western Class Championships,2017,254,842,3.315,588,231.5,class
