tid,tournament_name,family,tournament_year,final_count,has_timestamps,ts_count,first_reg,last_reg,is_covid,is_online,snapshot_last_reg,early_bird_spike,spike_day,spike_magnitude,roster_pending
346,2014 Empire City Open,Empire City Open,2014.0,249,False,0,,,False,False,,False,,,False
352,2015 Boston Chess Congress,Boston Chess Congress,2015.0,225,False,0,,,False,False,,False,,,False
376,2015 Liberty Bell Open,Liberty Bell Open,2015.0,339,False,0,,,False,False,,False,,,False
377,2015 Southwest Class,Southwest Class,2015.0,259,False,0,,,False,False,,False,,,False
395,2015 New York State Scholastic Championships,New York State Scholastic Championships,2015.0,953,False,0,,,False,False,,False,,,False
396,2015 Pittsburgh Open,Pittsburgh Open,2015.0,136,False,0,,,False,False,,False,,,False
401,2015 Mid-America Open,Mid-America Open,2015.0,234,False,0,,,False,False,,False,,,False
403,2015 Western Class Championships,Western Class Championships,2015.0,200,False,0,,,False,False,,False,,,False
404,2015 Philadelphia Open,Philadelphia Open,2015.0,515,False,0,,,False,False,,False,,,False
405,2015 Southern Class Championships,Southern Class Championships,2015.0,196,False,0,,,False,False,,False,,,False
406,2015 DC International,DC International,2015.0,128,False,0,,,False,False,,False,,,False
413,2015 Chicago Open,Chicago Open,2015.0,774,False,0,,,False,False,,False,,,False
414,2015 Eastern Class Championships,Eastern Class Championships,2015.0,214,False,0,,,False,False,,False,,,False
424,2015 World Open,World Open,2015.0,921,False,0,,,False,False,,False,,,False
425,2015 World Open Senior Amateur,World Open Senior Amateur,2015.0,38,False,0,,,False,False,,False,,,False
426,2015 New York State Open,New York State Open,2015.0,70,False,0,,,False,False,,False,,,False
430,2015 Northeast Open,Northeast Open,2015.0,189,False,0,,,False,False,,False,,,False
454,2016 World Open Womens Championship,World Open Womens Championship,2016.0,27,False,0,,,False,False,,False,,,False
455,2015 World Open Under 13 Championship,World Open Under 13,2015.0,244,False,0,,,False,False,,False,,,False
474,2015 Chicago Class,Chicago Class,2015.0,291,False,0,,,False,False,,False,,,False
488,2015 Pacific Coast Open,Pacific Coast Open,2015.0,203,False,0,,,False,False,,False,,,False
489,2015 Bradley Open,Bradley Open,2015.0,169,False,0,,,False,False,,False,,,False
490,2015 Southern Open,Southern Open,2015.0,210,False,0,,,False,False,,False,,,False
492,2015 Cleveland Open,Cleveland Open,2015.0,197,False,0,,,False,False,,False,,,False
503,2015 Continental Open,Continental Open,2015.0,253,False,0,,,False,False,,False,,,False
504,2015 Manhattan Open,Manhattan Open,2015.0,435,False,0,,,False,False,,False,,,False
505,2015 Central California Open,Central California Open,2015.0,114,False,0,,,False,False,,False,,,False
506,2015 Atlantic Open,Atlantic Open,2015.0,226,False,0,,,False,False,,False,,,False
517,2015 Indianapolis Open,Indianapolis Open,2015.0,179,False,0,,,False,False,,False,,,False
522,2015 Washington Chess Congress,Washington Chess Congress,2015.0,185,False,0,,,False,False,,False,,,False
534,2015 Midwest Class Championships,Midwest Class Championships,2015.0,265,False,0,,,False,False,,False,,,False
542,2015 Hartford Open,Hartford Open,2015.0,108,False,0,,,False,False,,False,,,False
543,2015 New York State Championship,New York State Championship,2015.0,173,False,0,,,False,False,,False,,,False
547,2015 Boardwalk Open,Boardwalk Open,2015.0,115,False,0,,,False,False,,False,,,False
548,2015 Central New York Open,Central New York Open,2015.0,61,False,0,,,False,False,,False,,,False
550,2015 Kings Island Open,Kings Island Open,2015.0,274,False,0,,,False,False,,False,,,False
551,2015 North American Open,North American Open,2015.0,717,False,0,,,False,False,,False,,,False
552,2015 Eastern Chess Congress,Eastern Chess Congress,2015.0,116,False,0,,,False,False,,False,,,False
563,2015 National Chess Congress,National Chess Congress,2015.0,574,False,0,,,False,False,,False,,,False
564,2015 Empire City Open,Empire City Open,2015.0,330,False,0,,,False,False,,False,,,False
570,2016 Boston Chess Congress,Boston Chess Congress,2016.0,242,False,0,,,False,False,,False,,,False
571,2016 Liberty Bell Open,Liberty Bell Open,2016.0,326,False,0,,,False,False,,False,,,False
572,2016 Golden State Open,Golden State Open,2016.0,261,False,0,,,False,False,,False,,,False
580,2016 Southwest Class,Southwest Class,2016.0,298,False,0,,,False,False,,False,,,False
589,2016 George Washington Open,George Washington Open,2016.0,241,False,0,,,False,False,,False,,,False
591,2016 Western Class Championships,Western Class Championships,2016.0,202,False,0,,,False,False,,False,,,False
599,2016 Pittsburgh Open,Pittsburgh Open,2016.0,106,False,0,,,False,False,,False,,,False
602,2016 New York State Scholastic Championships,New York State Scholastic Championships,2016.0,952,False,0,,,False,False,,False,,,False
606,2016 Mid-America Open,Mid-America Open,2016.0,210,False,0,,,False,False,,False,,,False
612,2016 Philadelphia Open,Philadelphia Open,2016.0,511,False,0,,,False,False,,False,,,False
626,2016 Chicago Open,Chicago Open,2016.0,798,False,0,,,False,False,,False,,,False
627,2016 Eastern Class Championships,Eastern Class Championships,2016.0,252,False,0,,,False,False,,False,,,False
628,2016 Bill Little Memorial,Bill Little Memorial,2016.0,64,False,0,,,False,False,,False,,,False
629,2016 New York State Open,New York State Open,2016.0,100,False,0,,,False,False,,False,,,False
630,2016 Continental Class Championships,Continental Class Championships,2016.0,212,False,0,,,False,False,,False,,,False
645,2016 World Open,World Open,2016.0,1137,False,0,,,False,False,,False,,,False
646,2016 Philadelphia International,Philadelphia International,2016.0,66,False,0,,,False,False,,False,,,False
647,2016 World Open Senior,World Open Senior,2016.0,43,False,0,,,False,False,,False,,,False
648,2016 World Open Under 13 Championship,World Open Under 13,2016.0,137,False,0,,,False,False,,False,,,False
705,2016 Chicago Class,Chicago Class,2016.0,321,False,0,,,False,False,,False,,,False
706,2016 Manhattan Open,Manhattan Open,2016.0,438,False,0,,,False,False,,False,,,False
707,2016 Continental Open,Continental Open,2016.0,255,False,0,,,False,False,,False,,,False
708,2016 Atlantic Open,Atlantic Open,2016.0,286,False,0,,,False,False,,False,,,False
709,2016 Washington Chess Congress,Washington Chess Congress,2016.0,197,False,0,,,False,False,,False,,,False
710,2016 Pacific Coast Open,Pacific Coast Open,2016.0,214,False,0,,,False,False,,False,,,False
711,2016 Southern Chess Congress,Southern Chess Congress,2016.0,199,False,0,,,False,False,,False,,,False
712,2016 Southern Open,Southern Open,2016.0,203,False,0,,,False,False,,False,,,False
713,2016 Bradley Open,Bradley Open,2016.0,148,False,0,,,False,False,,False,,,False
715,2016 Northeast Open,Northeast Open,2016.0,178,False,0,,,False,False,,False,,,False
719,2016 Central California Open,Central California Open,2016.0,92,False,0,,,False,False,,False,,,False
