family,year,start_date,end_date,early_bird_deadline,early_bird_fee,regular_fee,onsite_fee,venue_city,venue_state
May Open,2023,2023-05-04,2023-05-07,,,,,,
Mid-America Action,2022,2022-03-17,2022-03-20,,,,,,
Mid-America Open,2024,2024-03-22,2024-03-24,2024-03-19,113.0,130.0,130.0,St. Louis,MO
Mid-America Open,2025,2025-03-21,2025-03-23,2025-03-18,118.0,135.0,135.0,St. Louis,MO
Mid-America Open,2026,2026-03-20,2026-03-22,2026-03-17,123.0,140.0,140.0,St. Louis,MO
Midwest Action,2022,2022-09-22,2022-09-25,,,,,,
Midwest Chess Congress,2022,2022-06-16,2022-06-19,,,,,,
Midwest Class Championships,2021,2021-10-07,2021-10-10,,,,,,
Midwest Class Championships,2022,2022-10-06,2022-10-09,,,,,,
Midwest Class Championships,2023,2023-10-05,2023-10-08,,,,,,
Midwest Class Championships,2024,2024-10-10,2024-10-13,,,,,,
Midwest Class Championships,2025,2025-10-09,2025-10-12,,,,,,
Midwest Class Championships,2026,2026-10-09,2026-10-11,,,,,,Illinois
National Chess Congress,2023,2023-11-24,2023-11-26,2023-11-21,118.0,140.0,140.0,Philadelphia,PA
National Chess Congress,2024,2024-11-29,2024-12-01,2024-11-26,128.0,150.0,150.0,Philadelphia,PA
National Chess Congress,2025,2025-11-28,2025-11-30,2025-11-25,128.0,150.0,150.0,Philadelphia,PA
National Chess Congress,2026,2026-11-27,2026-11-29,2026-11-25,138.0,160.0,160.0,Philadelphia,PA
National Chess Congress Action,2022,2022-11-17,2022-11-20,,,,,,
National Chess Congress Warmup,2021,2021-11-02,2021-11-05,,,,,,
New York State Championship,2021,2021-09-03,2021-09-06,,,,,,
New York State Championship,2022,2022-09-02,2022-09-05,,,,,,
New York State Championship,2023,2023-08-31,2023-09-03,,,,,,
New York State Championship,2024,2024-08-30,2024-09-02,,,,,,
New York State Championship,2025,2025-08-29,2025-09-01,,,,,,
New York State Championship,2026,2026-09-04,2026-09-07,,,,,,New York
New York State High School Championship,2025,2025-03-12,2025-03-15,,,,,,
New York State High School Championship,2026,2026-02-25,2026-02-28,,,,,,
New York State Junior Championships,2021,2021-12-26,2021-12-29,,,,,,
New York State Open,2024,2024-06-12,2024-06-15,,,,,,
New York State Open,2025,2025-06-17,2025-06-20,,,,,,
New York State Open,2026,2026-06-19,2026-06-21,,,,,,NY
New York State Scholastic Championships,2022,2022-03-09,2022-03-12,,,,,,
New York State Scholastic Championships,2023,2023-03-08,2023-03-11,,,,,,
New York State Scholastic Championships,2024,2024-03-06,2024-03-09,,,,,,
New York State Scholastic Championships Grades K-8,2025,2025-03-05,2025-03-08,,,,,,
New York State Scholastic Championships Grades K-8,2026,2026-03-04,2026-03-07,,,,,,
New York State Scholastic Championships WAITLIST,2024,2024-03-03,2024-03-06,,,,,,
New York State Senior Championship With Young Adult Mi,2025,2025-03-13,2025-03-16,,,,,,
New York State Senior Championship With Young Adult Mi,2026,2026-02-25,2026-02-28,,,,,,
New York Under 13 Action Championship,2021,2021-12-25,2021-12-28,,,,,,
Niagara Falls Open,2021,2021-11-17,2021-11-20,,,,,,
Niagara Falls Open,2022,2022-05-12,2022-05-15,,,,,,
Niagara Falls Open,2023,2023-05-04,2023-05-07,,,,,,
Niagara Falls Open,2024,2024-05-29,2024-06-01,,,,,,
Niagara Falls Open,2025,2025-04-30,2025-05-03,,,,,,
North American Action,2021,2021-12-16,2021-12-19,,,,,,
North American Blitz Championship,2022,2022-12-27,2022-12-30,,,,,,
North American Blitz Championship,2023,2023-12-27,2023-12-30,,,,,,
North American Blitz Championship,2024,2024-12-27,2024-12-30,,,,,,
North American Blitz Championship,2025,2025-12-27,2025-12-30,,,,,,
North American Open,2023,2023-12-26,2023-12-30,2023-12-23,179.0,199.0,220.0,Las Vegas,NV
North American Open,2024,2024-12-26,2024-12-30,2024-12-23,188.0,208.0,230.0,Las Vegas,NV
North American Open,2025,2025-12-26,2025-12-30,2025-12-23,198.0,218.0,240.0,Las Vegas,NV
North American Scholastics,2021,2021-12-17,2021-12-20,,,,,,
Northeast Open,2021,2021-11-04,2021-11-07,,,,,,
Northeast Open,2022,2022-06-09,2022-06-12,,,,,,
November Classic,2023,2023-11-09,2023-11-12,,,,,,
November Open,2021,2021-11-18,2021-11-21,,,,,,
November Open,2022,2022-11-03,2022-11-06,,,,,,
October Open,2021,2021-10-21,2021-10-24,,,,,,
October Open,2022,2022-10-06,2022-10-09,,,,,,
October Open,2023,2023-10-05,2023-10-08,,,,,,
Open at Foxwoods,2022,2022-04-13,2022-04-16,,,,,,
Open at Foxwoods,2023,2023-04-05,2023-04-08,,,,,,
Open at Foxwoods,2024,2024-03-27,2024-03-30,,,,,,
Pacific Coast Open,2022,2022-07-14,2022-07-17,,,,,,
Pacific Coast Open,2023,2023-07-20,2023-07-23,,,,,,
Pacific Coast Open,2024,2024-07-18,2024-07-21,,,,,,
Pacific Coast Open,2025,2025-08-07,2025-08-10,,118.0,138.0,150.0,Los Angeles,CA
Pacific Coast Open,2026,2026-07-31,2026-08-02,2026-08-25,123.0,143.0,155.0,Los Angeles,CA
Philadelphia International,2022,2022-06-22,2022-06-25,,,,,,
Philadelphia International,2023,2023-06-22,2023-06-25,,,,,,
Philadelphia International,2024,2024-06-25,2024-06-28,,,,,,
Philadelphia International,2025,2025-06-24,2025-06-27,,,,,,
Philadelphia Open,2022,2022-06-23,2022-06-26,,,,,,
Philadelphia Open,2023,2023-06-22,2023-06-25,,,,,,
Philadelphia Open,2024,2024-06-27,2024-06-30,,,,,,
Philadelphia Open,2025,2025-06-26,2025-06-29,,,,,,
Pittsburgh Open,2022,2022-07-21,2022-07-24,,,,,,
Pittsburgh Open,2023,2023-07-20,2023-07-23,,,,,,
Pittsburgh Open,2024,2024-07-25,2024-07-28,,,,,,
Pittsburgh Open,2025,2025-07-16,2025-07-19,,88.0,105.0,105.0,Pittsburgh,PA
Pittsburgh Open,2026,2026-07-17,2026-07-19,2026-04-21,93.0,110.0,110.0,Pittsburgh,PA
Princeton Open,2025,2025-04-16,2025-04-19,,,,,,
September Action,2023,2023-09-21,2023-09-24,,,,,,
September Open,2021,2021-09-09,2021-09-12,,,,,,
September Open,2022,2022-09-08,2022-09-11,,,,,,
September Open,2023,2023-09-07,2023-09-10,,,,,,
Southern Class,2022,2022-03-17,2022-03-20,,,,,,
Southern Class,2023,2023-03-16,2023-03-19,,,,,,
Southern Class,2024,2024-03-14,2024-03-17,,,,,,
Southern Class,2025,2025-03-06,2025-03-09,,,,,,
Southern Class,2026,2026-03-12,2026-03-15,,,,,,
Southern Open,2022,2022-07-20,2022-07-23,,,,,,
Southern Open,2023,2023-07-27,2023-07-30,,,,,,
Southern Open,2024,2024-07-18,2024-07-21,,,,,,
Southern Open,2025,2025-07-24,2025-07-27,,,,,,
Southern Open,2026,2026-07-17,2026-07-19,,,,,,FL
Southwest Action,2022,2022-02-10,2022-02-13,,,,,,
Southwest Class Championships,2022,2022-02-17,2022-02-20,,,,,,
Southwest Class Championships,2023,2023-02-16,2023-02-19,,,,,,
Southwest Class Championships,2024,2024-02-14,2024-02-17,,,,,,
Southwest Class Championships,2025,2025-02-13,2025-02-16,,,,,,
Southwest Class Championships,2026,2026-02-11,2026-02-14,,,,,,
Susan Kantor Memorial,2021,2021-10-15,2021-10-18,,,,,,
Washington Chess Congress,2021,2021-10-07,2021-10-10,,,,,,
Washington Chess Congress,2023,2023-10-19,2023-10-22,,,,,,
Western Action,2022,2022-02-25,2022-02-28,,,,,,
Western Class,2022,2022-03-03,2022-03-06,,,,,,
Western Class,2023,2023-03-02,2023-03-05,,,,,,
Western Class Championships,2024,2024-02-29,2024-03-03,,,,,,
Western Class Championships,2025,2025-03-06,2025-03-09,,,,,,
Western Class Championships,2026,2026-03-05,2026-03-08,,,,,,
World Open,2022,2022-06-29,2022-07-03,2022-05-13,279.0,289.0,310.0,Philadelphia,PA
World Open,2023,2023-06-28,2023-07-02,2023-05-12,289.0,299.0,320.0,Philadelphia,PA
World Open,2024,2024-07-03,2024-07-07,2024-05-17,298.0,308.0,330.0,Philadelphia,PA
World Open,2025,2025-07-02,2025-07-06,2025-05-16,308.0,318.0,340.0,Washington,DC
World Open,2026,2026-07-01,2026-07-05,2026-05-15,318.0,328.0,350.0,Washington,DC
World Open Action,2022,2022-06-16,2022-06-19,,,,,,
World Open Action,2023,2023-06-26,2023-06-29,,,,,,
World Open Action,2025,2025-06-28,2025-07-01,,,,,,
World Open Action,2026,2026-06-30,2026-06-30,,,,,,District Of Columbia
World Open Amateur,2022,2022-06-25,2022-06-28,,,,,,
World Open Amateur,2023,2023-06-24,2023-06-27,,,,,,
World Open Amateur,2024,2024-06-29,2024-07-02,,,,,,
World Open Amateur,2025,2025-06-28,2025-07-01,,,,,,
World Open Blitz Championship,2022,2022-07-02,2022-07-05,,,,,,
World Open Blitz Championship,2023,2023-07-02,2023-07-05,,,,,,
World Open Blitz Championship,2024,2024-07-05,2024-07-08,,,,,,
World Open Blitz Championship,2025,2025-07-04,2025-07-07,,,,,,
World Open Blitz Championship,2026,2026-07-05,2026-07-05,,,,,,District Of Columbia
World Open FIDE U2200,2022,2022-06-20,2022-06-23,,,,,,
World Open FIDE U2400,2022,2022-06-26,2022-06-29,,,,,,
World Open G 10 Championship,2022,2022-07-02,2022-07-05,,,,,,
World Open G 10 Championship,2023,2023-07-01,2023-07-04,,,,,,
World Open G 10 Championship,2024,2024-07-04,2024-07-07,,,,,,
World Open G 10 Championship,2025,2025-07-03,2025-07-06,,,,,,
World Open G 10 Championship,2026,2026-07-04,2026-07-04,,,,,,District Of Columbia
World Open G 50 Championship,2026,2026-06-25,2026-06-25,,,,,,District Of Columbia
World Open G/10 Championship,2026,2026-07-04,2026-07-04,,,,,,District Of Columbia
World Open G/50 Championship,2026,2026-06-25,2026-06-25,,,,,,District Of Columbia
World Open G/7 Championship,2026,2026-07-01,2026-07-01,,,,,,District Of Columbia
World Open G7 Championship,2022,2022-06-28,2022-07-01,,,,,,
World Open G7 Championship,2023,2023-06-29,2023-07-02,,,,,,
World Open G7 Championship,2024,2024-07-01,2024-07-04,,,,,,
World Open G7 Championship,2025,2025-06-30,2025-07-03,,,,,,
World Open G7 Championship,2026,2026-07-01,2026-07-01,,,,,,District Of Columbia
World Open Junior Championship,2023,2023-06-25,2023-06-28,,,,,,
World Open Junior Championship,2024,2024-06-28,2024-07-01,,,,,,
World Open Senior Amateur,2022,2022-06-21,2022-06-24,,,,,,
World Open Senior Amateur,2023,2023-06-25,2023-06-28,,,,,,
World Open Senior Amateur,2024,2024-06-29,2024-07-02,,,,,,
World Open Senior Amateur,2025,2025-06-27,2025-06-30,,,,,,
World Open Under 13,2022,2022-06-20,2022-06-23,,,,,,
World Open Under 13,2023,2023-06-24,2023-06-27,,,,,,
World Open Under 13,2024,2024-06-24,2024-06-27,,,,,,
World Open Under 13,2025,2025-06-28,2025-07-01,,,,,,
World Open Under 13 Championship,2026,2026-06-29,2026-06-30,,,,,,District Of Columbia
World Open Womens Championship,2022,2022-06-26,2022-06-29,,,,,,
World Open Womens Championship,2023,2023-06-26,2023-06-29,,,,,,
World Open Womens Championship,2024,2024-06-28,2024-07-01,,,,,,
World Open Womens Championship,2025,2025-06-28,2025-07-01,,,,,,
World Open lower sections,2023,2023-06-21,2023-06-24,,,,,,
World Open lower sections,2024,2024-06-26,2024-06-29,,,,,,
World Open lower sections,2025,2025-06-25,2025-06-28,,,,,,
World Open lower sections,2026,2026-06-26,2026-06-28,,,,,,District Of Columbia
World Open top 6 sections,2023,2023-06-30,2023-07-03,,,,,,
World Open top 6 sections,2024,2024-07-03,2024-07-06,,,,,,
World Open top 6 sections,2025,2025-07-02,2025-07-05,,,,,,
World Open top 6 sections,2026,2026-07-01,2026-07-05,,,,,,District Of Columbia
"World Open, lower sections",2026,2026-06-26,2026-06-28,,,,,,District Of Columbia
"World Open, top 6 sections",2026,2026-07-01,2026-07-05,,,,,,District Of Columbia
Youth Rapid Chess Challenge,2022,2022-02-03,2022-02-06,,,,,,
North American Blitz Championship,2026,2026-12-29,2026-12-29,,,,,,Nevada
North American Open,2026,2026-12-26,2026-12-30,,,,,,Nevada
