tid,T,daily_regs,cum_regs,cum_pct
3837,33,2,13,0.08552631578947369
3837,30,1,14,0.09210526315789473
3837,27,1,15,0.09868421052631579
3837,26,1,16,0.10526315789473684
3837,25,1,17,0.1118421052631579
3837,23,3,20,0.13157894736842105
3837,22,2,22,0.14473684210526316
3837,21,2,24,0.15789473684210525
3837,20,1,25,0.16447368421052633
3837,18,4,29,0.19078947368421054
3837,17,2,31,0.20394736842105263
3837,16,1,32,0.21052631578947367
3837,15,1,33,0.21710526315789475
3837,13,1,34,0.2236842105263158
3837,12,1,35,0.23026315789473684
3837,11,2,37,0.24342105263157895
3837,10,2,39,0.2565789473684211
3837,9,6,45,0.29605263157894735
3837,8,4,49,0.3223684210526316
3837,7,7,56,0.3684210526315789
3837,6,4,60,0.39473684210526316
3837,5,6,66,0.4342105263157895
3837,4,11,77,0.506578947368421
3837,3,11,88,0.5789473684210527
3837,2,32,120,0.7894736842105263
3837,1,20,140,0.9210526315789473
3837,0,12,152,1.0
3861,171,1,1,0.0025575447570332483
3861,125,1,2,0.005115089514066497
3861,101,1,3,0.0076726342710997444
3861,100,1,4,0.010230179028132993
3861,98,1,5,0.01278772378516624
3861,97,1,6,0.015345268542199489
3861,95,1,7,0.017902813299232736
3861,93,1,8,0.020460358056265986
3861,90,2,10,0.02557544757033248
3861,80,1,11,0.028132992327365727
3861,79,1,12,0.030690537084398978
3861,78,1,13,0.03324808184143223
3861,77,1,14,0.03580562659846547
3861,75,1,15,0.03836317135549872
3861,73,1,16,0.04092071611253197
3861,71,1,17,0.043478260869565216
3861,70,1,18,0.04603580562659847
3861,67,1,19,0.04859335038363171
3861,66,1,20,0.05115089514066496
3861,64,1,21,0.05370843989769821
3861,62,1,22,0.056265984654731455
3861,61,1,23,0.058823529411764705
3861,59,1,24,0.061381074168797956
3861,55,1,25,0.0639386189258312
3861,54,2,27,0.06905370843989769
3861,53,2,29,0.0741687979539642
3861,52,1,30,0.07672634271099744
3861,51,2,32,0.08184143222506395
3861,49,1,33,0.08439897698209718
3861,48,1,34,0.08695652173913043
3861,47,2,36,0.09207161125319693
3861,46,2,38,0.09718670076726342
3861,45,2,40,0.10230179028132992
3861,42,3,43,0.10997442455242967
3861,41,2,45,0.11508951406649616
3861,35,3,48,0.12276214833759591
3861,34,1,49,0.12531969309462915
3861,33,1,50,0.1278772378516624
3861,32,5,55,0.14066496163682865
3861,31,4,59,0.15089514066496162
3861,30,3,62,0.1585677749360614
3861,29,5,67,0.17135549872122763
3861,28,3,70,0.17902813299232737
3861,27,7,77,0.1969309462915601
3861,26,8,85,0.21739130434782608
3861,25,5,90,0.23017902813299232
3861,24,5,95,0.24296675191815856
3861,23,7,102,0.2608695652173913
3861,22,2,104,0.2659846547314578
3861,21,5,109,0.27877237851662406
3861,20,4,113,0.289002557544757
3861,19,1,114,0.2915601023017903
3861,18,8,122,0.31202046035805625
3861,17,2,124,0.3171355498721228
3861,16,5,129,0.329923273657289
3861,15,3,132,0.3375959079283887
3861,14,6,138,0.35294117647058826
3861,13,5,143,0.3657289002557545
3861,12,8,151,0.38618925831202044
3861,11,10,161,0.4117647058823529
3861,10,10,171,0.4373401534526854
3861,9,7,178,0.45524296675191817
3861,8,13,191,0.4884910485933504
3861,7,20,211,0.5396419437340153
3861,6,16,227,0.5805626598465473
3861,5,27,254,0.649616368286445
3861,4,36,290,0.7416879795396419
3861,3,54,344,0.8797953964194374
3861,2,12,356,0.9104859335038363
